,title,originallink,link,description,pubDate
0,무면허 미성년자 교통사고 급증…연평균 21명 사망,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00006&news_seq_no=4611820,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=057&aid=0001612713,"강득구 의원은 최근 무면허 미성년자들의 위험한 질주가 계속되고 있다. 특히, 렌터카 업체에 다른 사람의 명의를 도용해 비대면 방식으로 차량을 빌린 후 사고를 내는 경우가 빈번하게 발생하고 있다며 렌터카... ","Thu, 07 Oct 2021 17:38:00 +0900"
1,"미성년자 무면허 교통사고, 2년새 34% 급증",http://yna.kr/AKR20211006172000001?did=1195m,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=001&aid=0012651864,"강득구 단순한 호기심 운전, 중대 범죄임을 인식해야 미성년자가 일으킨 무면허 교통사고 건수가 2년새... 강 의원은 다른 사람의 명의를 도용해 렌터카 업체에서 비대면 방식으로 차량을 빌려 사고를 내는 등... ","Thu, 07 Oct 2021 06:00:00 +0900"
2,광주·전남 미성년 무면허 교통사고 사망자 전국 최다,http://www.newsis.com/view/?id=NISX20211007_0001605952&cID=10809&pID=10800,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010756510,강득구 의원은 최근 무면허 미성년자들의 위험한 질주가 계속되고 있다. 렌터카 업체에 다른 사람의 명의를 도용해 비대면 방식으로 차량을 빌린 뒤 사고가 나는 사례가 빈번하다며 렌터카 회사는 신분 확인... ,"Thu, 07 Oct 2021 11:31:00 +0900"
3,PK 미성년 운전사고 112건 2명 사망 155명 부상,http://news.knn.co.kr/news/todaynews_read.asp?etime=2021101000005&userid=chutak&newsgubun=society,http://news.knn.co.kr/news/todaynews_read.asp?etime=2021101000005&userid=chutak&newsgubun=society,도로교통공단의 자료에 따르면 부산에서는 60건의 미성년 무면허 교통사고가 발생해 89명이 다쳤고 경남에서는 52건이 발생해 2명이 숨지고 66명이 다쳤습니다. 특히 비대면 방식으로 렌터카를 빌린 뒤 사고를 내는... ,"Mon, 11 Oct 2021 08:28:00 +0900"
4,미성년 무면허 교통사고 작년 833건…2년새 34.8% 급증,https://www.news1.kr/articles/?4454570,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005642633,무면허 사고 관련 가해 미성년자 연령 분포를 보면 17세가 27.7%(593명)로 가장 많았다. 이어 Δ16세 22.5... 강 의원은 최근 미성년자들이 렌터카 업체에 다른 사람 명의를 도용해 비대면 방식으로 차량을 빌린... ,"Thu, 07 Oct 2021 11:05:00 +0900"
5,우후죽순 늘어나는 렌터카에…청소년 무면허 사고 범죄 기승,http://news.mk.co.kr/newsRead.php?no=940871&year=2021,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=009&aid=0004860106,"4일 국회 정무위원회 소속 윤관석 의원(더불어민주당 사무총장·인천남동을)이 도로교통공단에서 제출받은 '최근 7년간 청소년 무면허 렌터카 사고발생 현황' 자료를 분석한 결과, 2014년부터 지난해까지 582건의... ","Tue, 05 Oct 2021 08:11:00 +0900"
6,청소년 '무면허 렌터카' 사고 느는데···업계는 SNS로 ‘미성년자 렌트 유혹...,https://www.khan.co.kr/national/incident/article/202110041013001,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=032&aid=0003101502,"국회 정무위원회 소속 윤관석 더불어민주당 의원이 4일 도로교통공단으로부터 받은 ‘최근 7년간 청소년 무면허 렌터카 사고발생 현황’ 자료를 보면, 2014년부터 지난해까지 582건의 사고가 발생했다. 이 기간... ","Mon, 04 Oct 2021 10:14:00 +0900"
7,미성년자 무면허 교통사고 3년간 2140건…전년比 20%↑,http://www.edaily.co.kr/news/newspath.asp?newsid=02719126629210624,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=018&aid=0005054158,"강득구 의원은 “최근 무면허 미성년자들의 위험한 질주가 계속되고 있다. 특히 렌터카 업체에 다른 사람의 명의를 도용, 비대면 방식으로 차량을 빌린 후 사고를 내는 경우가 빈번하게 발생하고 있다”며... ","Thu, 07 Oct 2021 13:45:00 +0900"
8,`도로 위 시한폭탄` 청소년 무면허 렌터카 사고 증폭…7년간 582건,http://www.dt.co.kr/contents.html?article_no=2021100402109958056001&ref=naver,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=029&aid=0002699202,윤관석 민주당 의원 '미성년자 렌트 가능' 불법 광고 성행…대책 마련 필요 최근 코로나19 확산과 더불어 청소년 무면허 렌터카 사고 건수가 증가세를 보이면서 대책 마련이 시급하다는 목소리가 나온다. 4일... ,"Mon, 04 Oct 2021 11:30:00 +0900"
9,강득구 미성년자 무면허 교통사고 급증,http://www.kihoilbo.co.kr/news/articleView.html?idxno=948808,http://www.kihoilbo.co.kr/news/articleView.html?idxno=948808,강 의원은 최근 무면허 미성년자들의 위험한 질주가 계속되고 있다. 특히 렌터카 업체에 다른 사람의 명의를 도용해 비대면 방식으로 차량을 빌린 후 사고를 내는 경우가 빈번하게 발생하고 있다며 렌터카... ,"Thu, 07 Oct 2021 21:24:00 +0900"
